No,회사,제목,지역,상세보기
17,바로마디정형외과내과의원,수술실 간호사 채용,경남 진주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070000908&src=etc*search
18,벧엘요양병원,야간(나이트) 전담 간호사,전북 전주시 덕진구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290002235&src=etc*search
19,한사랑요양병원,감염관리 간호사 채용,전북 전주시 완산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010004125&src=etc*search
20,차오름의원,간호사 선생님 구함,전남 담양군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260004028&src=etc*search
21,노블힐요양원,간호사/간호조무사 구인(요양원),경기 화성시 만세구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607080002988&src=etc*search
22,의료법인 창아의료재단,"병동간호사 3교대, DE간호사 모집합니다.",경남 창원시 성산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606220004441&src=etc*search
23,에이스노인전문요양원,요양원 간호사 모심,충북 청주시 흥덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290000713&src=etc*search
24,아름다운노인복지센터,[방문간호] 행정전담 간호사 모십니다.,경기 화성시 만세구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290003277&src=etc*search
25,국공립아미2어린이집,(대체)간호사 및 간호조무사 모집합니다.,경기 이천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070004406&src=etc*search
26,맘존여성병원,간호사 및 간호조무사   모집합니다.,경북 경주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607100002702&src=etc*search
27,우리요양원,간호사 추가채용,강원 강릉시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010002825&src=etc*search
28,강원도립강릉요양병원,정규직 병동간호사 모집,강원 강릉시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010000944&src=etc*search
29,우리아동병원,병동간호사 모집,울산 울주군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260002600&src=etc*search
30,행복동산 노인요양시설,[행복동산]  간호사 또는  간호조무사  채용 공고,경북 문경시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090001417&src=etc*search
31,수외과의원,간호사 모집,경남 창원시 마산회원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607080001925&src=etc*search
32,감동실버타운,간호사 채용,경북 구미시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090001471&src=etc*search
33,대신재활요양원,간호사 모집,충북 청주시 청원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010000595&src=etc*search
34,의료법인의암의료재단,간호사,충남 홍성군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010004142&src=etc*search
35,영지요양원,간호사 또는 간호조무사 모집,서울 중랑구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607080002693&src=etc*search
36,보령시립노인전문병원,N keep 간호사,충남 보령시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607080004273&src=etc*search
37,수요양병원,병동간호사 모집,전남 광양시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607060004223&src=etc*search
38,한사랑요양병원,QPS 간호사 채용,전북 전주시 완산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010004541&src=etc*search
39,봄요양병원,봄요양병원에서 간호사를 모십니다.  병동 3교대 또는 상근 간호사를 모십니다. 투석실 간호사 모집,전북 군산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070003401&src=etc*search
40,파랑새마을재가센터,재활 방문 간호사 모집,서울 은평구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260004043&src=etc*search
41,굿모닝요양병원,간호사 채용,서울 성동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020003771&src=etc*search
42,강릉치유재활요양원,간호사 채용,강원 강릉시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290000635&src=etc*search
43,거제요양병원,거제요양병원 야간전담간호사 간호사님 구인합니다.,경남 거제시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070003038&src=etc*search
44,성남은빛요양원,요양원 간호사 모집,경기 성남시 중원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290004306&src=etc*search
45,안양실버케어호계요양원,요양원  간호사  구인,경기 안양시 동안구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606300003576&src=etc*search
46,하나한방병원,간호사 모집합니다.,전북 익산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607060004317&src=etc*search
47,바로마디정형외과내과의원,수술실 간호사 채용,경남 진주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070000908&src=etc*search
48,벧엘요양병원,야간(나이트) 전담 간호사,전북 전주시 덕진구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290002235&src=etc*search
49,한사랑요양병원,감염관리 간호사 채용,전북 전주시 완산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010004125&src=etc*search
50,차오름의원,간호사 선생님 구함,전남 담양군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260004028&src=etc*search
51,노블힐요양원,간호사/간호조무사 구인(요양원),경기 화성시 만세구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607080002988&src=etc*search
52,의료법인 창아의료재단,"병동간호사 3교대, DE간호사 모집합니다.",경남 창원시 성산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606220004441&src=etc*search
53,에이스노인전문요양원,요양원 간호사 모심,충북 청주시 흥덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290000713&src=etc*search
54,아름다운노인복지센터,[방문간호] 행정전담 간호사 모십니다.,경기 화성시 만세구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290003277&src=etc*search
55,국공립아미2어린이집,(대체)간호사 및 간호조무사 모집합니다.,경기 이천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070004406&src=etc*search
56,맘존여성병원,간호사 및 간호조무사   모집합니다.,경북 경주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607100002702&src=etc*search
57,우리요양원,간호사 추가채용,강원 강릉시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010002825&src=etc*search
58,강원도립강릉요양병원,정규직 병동간호사 모집,강원 강릉시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010000944&src=etc*search
59,우리아동병원,병동간호사 모집,울산 울주군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260002600&src=etc*search
60,행복동산 노인요양시설,[행복동산]  간호사 또는  간호조무사  채용 공고,경북 문경시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090001417&src=etc*search
61,대신재활요양원,간호사 모집,근무지 충청북도 청주시 청원구 충청대로 93,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K171112607010006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
62,백세플러스 재가복지센터,방문간호사 인재를 구합니다.,근무지 인천광역시 부평구 부영로 196,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K150112606100014&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
63,더케어링하우스 남양주요양원,- 더케어링하우스에서 시설장님을 (간호사(RN) 경력자) 모십니다 -,근무지 경기도 남양주시 늘을1로 55-10,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180132607080029&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
64,의료법인 우성의료재단,요양병원 감염관리전담 간호사 구인,근무지 전남광주통합특별시 목포시 영산로 143,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K162122606170027&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
65,의료법인성효의료재단,포항성심요양병원 간호사(야간 전담) 채용,근무지 경상북도 포항시 북구 중앙로 297,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141112606040052&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
66,일산성심요양원,[채용대행] 간호사(야간) / 간호조무사 (주간),근무지 경기도 고양시 일산동구 고봉로770번길 23,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10712605260004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
67,수봉재활원,종사자(간호사) 채용 공고,근무지 경기도 수원시 권선구 수봉로 43,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180012607010077&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
68,의료법인성효의료재단,포항성심요양병원 주간 간호사 채용,근무지 경상북도 포항시 북구 중앙로 297,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141112606040051&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
69,서울특별시립평화로운집,서울특별시립 평화로운집 간호사를 찾습니다.,근무지 서울특별시 은평구 갈현로15길 27-1,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120312607030012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
70,시월애(재활)요양원,시월애요양원 간호사(간호조무사) 채용,근무지 경기도 안성시 공도읍 웅교4길 46-22,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180632606190018&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
71,영통효요양병원,감염전담 경력간호사님을 모십니다.,근무지 경기도 수원시 영통구 영통로90번길 4-16,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180012606190035&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
72,의료법인성효의료재단,포항 성심요양병원 QPS 간호사 채용합니다,근무지 경상북도 포항시 북구 중앙로 297,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141112606040053&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
73,주식회사 우림홀딩스,우림요양원에서 함께 성장하는 간호사님을 찾습니다.,근무지 대구광역시 달서구 성지로14안길 48,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K140022606010001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
74,의료법인송원의료재단,요양병원  병동간호사 모집합니다,근무지 충청북도 충주시 주덕읍 신양로 62,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K171222606190013&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
75,인성병원,인성병원 간호사 구인,근무지 경상북도 포항시 북구 장량로 98-10,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141112606190036&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
76,케이씨에스마산수외과의원,간호사 모집,근무지 경상남도 창원시 마산회원구 315대로 727,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131112607080019&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
77,의료법인현경의료재단,[광양서울병원] 간호사 구인(3교대),근무지 전남광주통합특별시 광양시 진등길 93,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K162222606160014&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
78,마루요양병원,간호사,근무지 전남광주통합특별시 화순군 개천로 249,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K1600z2606300001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
79,간호사가여는 올래방문요양센터,[홍은동] 간호사(간호조무사) 구인,근무지 서울특별시 서대문구 세검정로1길 95,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAO002606150013&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
80,성남은빛요양원,요양원 간호사 모집,근무지 경기도 성남시 중원구 둔촌대로425번길 28,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180312606290026&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
81,베드로요양병원,경력간호사 3교대 및 나이트 keep 간호사 채용합니다.,근무지 경기도 시흥시 평안상가5길 19,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180522606290076&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
82,사랑요양병원,"간호사 구인 , 사랑요양병원",근무지 부산광역시 금정구 중앙대로 1590,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K130112607090023&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
83,전라남도순천의료원,【전라남도순천의료원 공고 제2026-14호】 2026년 순천의료원 계약직(간호사) 채용 공고,근무지 전남광주통합특별시 순천시 서문성터길 2,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K162212607020034&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
84,의료법인조윤의료재단,"영동병원 병동, 내시경실 간호사 구인 및 외래간호조무사 구인",근무지 충청북도 영동군 영동읍 대학로 106,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K171182605220004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
85,연세와이재활의학과의원,[연세Y재활의학과 ] 간호사 (육아휴직 대체) 채용공고,근무지 경기 광주시,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=19389358&infoTypeCd=CCN&infoTypeGroup=tb_workinfogubun
86,주식회사 아주편한,(방문간호)시설장,근무지 경기도 수원시 장안구 조원로 96,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180012606180044&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
87,의료법인 우암의료재단 우암병원,"간호사 구인 (3교대, N전담)",근무지 전남광주통합특별시 북구 동문대로248번길 10,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10862605210003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
88,효사랑요양원,효사랑요양원 간호사 채용공고,근무지 경기도 성남시 중원구 둔촌대로 220,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21012606250001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
89,파랑새마을재가센터,재활 방문 간호사 모집,근무지 서울특별시 은평구 서오릉로18길 25-12,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120312606260035&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
90,의료법인 행촌의료재단,우리 병원에서 긍정적이고 친절한 간호사를 찾고 있습니다.,근무지 전남광주통합특별시 해남군 해남로 45,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K162142606040011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
91,강병원,"[강병원]   간호사 모집( 병동 간호사 3교대)   응급실 간호사 (3교대 , )",근무지 경상남도 고성군 고성읍 중앙로 49,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131532606220001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
92,코아이비인후과의원,[포항 코아이비인후과] 간호부 간호사 추가 채용 공고,근무지 경상북도 포항시 남구 시청로 5,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141112607010038&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
93,사랑재가센터,간호사구인(주간보호근무),근무지 강원특별자치도 원주시 포란재로 103,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K152412607060024&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
94,봄날요양원,화성 봉담에 위치한 봄날요양원에서 간호사(RN)를 모집합니다.,근무지 경기도 화성시 효행구 봉담읍 최루백로 206-7,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180032607070110&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
95,감동실버타운,간호사 채용,근무지 경상북도 구미시 박정희로9길 29,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141212607090009&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
96,의료법인 성산의료재단,경주 새빛병원에서 간호사(3교대)을 모십니다,근무지 경상북도 경주시 원효로 93-1,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141122606290026&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
97,더숲 요양병원,"간호사  3교대 , D킵, 수간호사",근무지 전북특별자치도 전주시 완산구 흑석2길 22 -,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K161132606260026&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
98,의료법인 씨지예스의료재단,요양병원의 든든한 간호를 담당할 간호사를 채용합니다.,근무지 세종특별자치시  조치원읍 섭골길 37,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K170082605190001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
99,제천시공공산후조리원,간호사 채용,근무지 충청북도 제천시 원뜰로 130,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K171212607010011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
100,진주새롬재활의학과병원,진주새롬재활의학과병원 직원모집!!! (간호사),근무지 경상남도 진주시 동진로 22,/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131412606080016&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
